ym,rc1,n_all,n_card,s_fare,s_extra,s_mta,s_imp,s_cs,s_cbd,s_air,s_tolls,s_ptt,s_tip
2019-06,1,6614650,4773584,58655569.0600114,5691577.569999997,2386759.4299999904,1431999.0001265341,11231824.75,0,0,1216146.0100022682,76521971.07370299,13539075.750037389
2019-06,,30721,0,,,,,,,,,,
2019-07,0,229527,171574,9481964.689999875,210695.65000000002,73393.55000000002,51225.60000012296,311914.0,0,0,879679.5799995471,10914209.17999654,1868548.6100011892
2019-07,1,5976323,4234563,51159611.300009735,5006087.749999996,2116973.4000000004,1270341.9001014417,9958954.75,0,0,1033003.2399993581,67008661.53525378,11839213.870025778
2019-07,,33934,0,,,,,,,,,,
2019-08,0,227146,167505,9264215.309999911,198170.81999999995,70850.1,49965.300000110736,298557.5,0,0,863092.4399995616,10655066.789995432,1820049.0700010967
2019-08,1,5741933,4031520,48366715.99000742,4760145.229999995,2015469.36,1209430.500091987,9493734.0,0,0,1017202.9999993728,63491613.23580115,11266689.740023796
2019-08,,33298,0,,,,,,,,,,
2019-09,0,243915,184522,10164171.519999959,221778.41999999993,77622.93000000002,55084.8900001604,336347.5,0,0,954045.8199995223,11708871.669999335,2037925.330001299
2019-09,1,6214806,4523833,55424186.30001115,5282156.00999999,2261807.4400000004,1357119.1501149114,10718449.25,0,0,1086885.570000014,72376348.16445556,12850900.530033767
2019-09,,34054,0,,,,,,,,,,
2019-10,0,257038,193329,10669833.93,234874.6399999999,80856.5,57697.50000018575,352921.05,0,0,1000973.859999492,12294261.68000065,2150399.550001198
2019-10,1,6830539,5003241,60717845.21001124,5821141.249999986,2501606.8,1500926.7001372331,11908645.75,0,0,1171274.0500014927,79515195.50312464,14229206.470041793
2019-10,,46690,0,,,,,,,,,,
2019-11,0,232382,177399,9762905.619999891,197307.69999999995,73382.00000000001,52927.800000139476,320510.0,0,0,910790.009999544,11225436.279998237,1969940.6700013115
2019-11,1,6521517,4781285,57218531.56001493,5373836.659999992,2390438.3,1434350.100126899,11391024.5,0,0,1057309.6599995124,75009880.3736141,13441591.850038098
2019-11,,47241,0,,,,,,,,,,
2019-12,0,242022,182532,10099859.839999883,202013.6,74222.28,54435.0000001541,323075.0,0,0,931015.2399995486,11596996.489999605,2024210.800001335
2019-12,1,6523005,4673964,56349547.230012834,5240335.499999988,2336765.9800000135,1402121.7001218966,11098647.0,0,0,1077502.3799998534,73830238.98381577,13383516.760035196
2019-12,,50989,0,,,,,,,,,,
2023-10,0,194509,160178,10755928.51999997,197648.25,67277.65,159915.09999999998,264785.0,0,144170.25,872247.9500001792,12389493.41999567,1945605.1999998633
2023-10,1,3117394,2586588,45126022.65000024,4297743.029999998,1292448.8,2586343.400000003,6178962.5,0,269374.0,933471.5100002422,59168425.18999411,10466927.45000057
2023-10,,154232,0,,,,,,,,,,
2023-11,0,175616,145750,9691341.379999958,168992.75,60953.8,145493.5,235957.5,0,127967.0,772481.2800001632,11140551.159996083,1734456.3499999281
2023-11,1,2977458,2480933,42835905.89000042,4044074.0299999975,1240045.0,2480746.800000003,5941625.5,0,256413.5,888987.8800002385,56230339.3999937,10006577.570000865
2023-11,,131895,0,,,,,,,,,,
2023-12,0,177000,144030,9517453.109999971,162406.04,58797.0,143822.6,223750.0,0,117241.25,744613.5700001525,10910882.76999636,1664706.9199999701
2023-12,1,2962183,2426977,41772200.23999973,3986894.339999999,1212882.01,2426775.200000002,5822455.0,0,228270.0,809957.2800002147,54796533.86999267,9840212.080001114
2023-12,,174404,0,,,,,,,,,,
2024-01,0,156033,133120,8433064.989999954,138722.0,56458.2,132947.2,195857.5,0,111797.0,637048.6200001475,9657756.659996625,1415036.5499999681
