ym,v,fbin,n,mean_tip,mean_rate,zero_sh
2012-05,2,30.0,16061,5.945232550899551,0.19280177726969236,0.06992092646784136
2012-05,2,28.0,22633,5.575657226174132,0.1933425194733079,0.06565634250872619
2012-05,2,22.0,46924,4.40074865740328,0.1923496341816055,0.052126843406359216
2012-05,2,24.0,39089,4.858820640078023,0.19533849671808529,0.05333981426999923
2012-05,1,4.0,683179,1.216448471044583,0.24414285913961223,0.01770107102238213
2012-05,1,26.0,36965,5.754121195725787,0.21431466649823688,0.03335587718111727
2012-05,1,34.0,9411,6.979733290829803,0.20033865752148824,0.0535543512910424
2012-05,1,28.0,26584,6.126974119771238,0.2124560029443216,0.03520914835991574
2012-05,1,16.0,124856,3.175527567758187,0.1885601430383293,0.022754212853206893
2012-05,2,14.0,148377,2.7192003477629734,0.18332022637760034,0.036467916186470946
2012-05,2,40.0,80302,8.189060670967143,0.17936323299738965,0.08774376727852358
2012-05,1,30.0,18503,6.416579473599088,0.2081206128869155,0.04274982435280765
2012-05,1,10.0,423120,2.1193813575330824,0.19571919188195858,0.015853658536585366
2012-05,1,38.0,3728,7.4212499999999855,0.19105832954732507,0.060890557939914165
2012-05,2,4.0,532782,1.1496974372258182,0.23055800295983436,0.031938015923961394
2012-05,2,26.0,31122,5.270464623096529,0.1962624477006727,0.05790116316432106
2012-05,2,34.0,8143,6.50299889475623,0.18657109285762588,0.0819108436694093
2012-05,2,10.0,332753,2.0471665770107395,0.1890104321571288,0.03044600649731182
2012-05,2,38.0,3156,7.044103295310522,0.18137413187424137,0.08618504435994931
2012-05,1,20.0,70829,4.198494825565792,0.20121455532962051,0.02880176199014528
2012-05,2,6.0,630656,1.4244965083973022,0.20749710224021511,0.028268977065151208
2012-05,1,18.0,90365,3.6361631162508607,0.1927970025944278,0.024887954407126652
2012-05,2,32.0,10908,6.220176934360052,0.1894301858647751,0.07847451411807847
2012-05,1,8.0,618256,1.7917854254544374,0.2027177190992899,0.014437385160839523
2012-05,1,12.0,279195,2.453155643904724,0.19115761686246494,0.017983846415587673
2012-05,2,36.0,5030,6.848759443339975,0.1860416236911121,0.07892644135188867
2012-05,1,6.0,803736,1.4862906476756204,0.2165857730952988,0.015058427145231767
2012-05,2,20.0,56211,3.913318033836465,0.18751698582671308,0.04997242532600381
2012-05,2,18.0,71489,3.4920603169718225,0.1851724665951871,0.0435451607939683
2012-05,1,32.0,12874,6.762056082025755,0.20595267424135624,0.04147894982134535
2012-05,2,8.0,485993,1.7301054541925953,0.19576000924687004,0.027891348229295485
2012-05,2,12.0,219930,2.3763861228570042,0.18515984789618173,0.03215568590005911
2012-05,1,36.0,5711,7.2017930309927864,0.19566679019869326,0.05655752057433024
2012-06,2,22.0,54813,4.40619816466875,0.19259648380346886,0.05482276102384471
2012-06,2,24.0,46939,4.88079869618045,0.19618524548026528,0.057627985257461815
2012-06,2,40.0,97365,8.230792995429525,0.18027962159509228,0.08999126996353926
2012-06,2,14.0,179520,2.7247288324421253,0.18369708746251978,0.037550133689839574
2012-06,1,32.0,12317,6.719314768206464,0.20463952529093835,0.045140862222943896
2012-06,1,18.0,87928,3.6465220407607437,0.1933543008161128,0.02607815485397143
2012-06,2,16.0,119539,3.0788468198663277,0.18282805983171768,0.040622725637658
2012-06,2,28.0,27769,5.6190125679714304,0.19479565448451328,0.06399222154200727
2012-06,2,30.0,19259,5.9060958512901935,0.1916637045242667,0.07518562749883172
2012-06,1,40.0,88661,8.8758366136199,0.1942479583790244,0.05254847114289259
2012-06,1,14.0,182526,2.798930179809943,0.18870449659401597,0.020857302521284638
2012-06,2,32.0,13194,6.211255115961785,0.18906438667519673,0.07776261937244201
2012-06,1,6.0,808680,1.4905214176189898,0.21714115869587902,0.014851362714547163
2012-06,2,36.0,6382,6.790526480727093,0.18440452260975182,0.08085239736759636
2012-06,1,10.0,422011,2.1251251744609667,0.1962788041329792,0.016146498550985638
2012-06,2,12.0,268636,2.376224482199031,0.18517742543356785,0.03399395464494707
2012-06,2,8.0,603583,1.732830314967648,0.19609200427273374,0.029329851901064144
2012-06,1,38.0,3864,7.414089026915099,0.1908813272981603,0.057971014492753624
2012-06,1,8.0,623195,1.7967654586440593,0.20332668971255496,0.014557241312911688
2012-06,1,12.0,276881,2.4582731570601086,0.1915581678931411,0.01793189131793081
2012-06,2,10.0,410260,2.051465875298444,0.18944237159767086,0.031567786281870035
2012-06,2,38.0,4067,7.010688468158334,0.18051002096107696,0.09736906810917138
2012-06,1,24.0,45945,5.339604744803627,0.21468935704686473,0.03330068560235064
2012-06,1,22.0,54784,4.805951920268557,0.21008758190351667,0.03097619742990654
2012-06,1,36.0,5803,7.243904876787854,0.1967149903378974,0.050318800620368774
2012-06,2,6.0,781143,1.4262207303906875,0.20768977207996286,0.029185437237484044
2012-06,1,20.0,67634,4.204955791465789,0.20150436869361352,0.029482213088091788
2012-06,2,4.0,652323,1.1497795570602027,0.23046467235137394,0.033037314336609315
2012-06,2,26.0,38082,5.265801428496759,0.1960848713483027,0.05968699122945224
2012-06,2,34.0,9642,6.5079537440365245,0.18675967132734703,0.08265919933623729
2012-06,2,20.0,67000,3.923137761193702,0.1879852028428657,0.05058208955223881
2012-06,1,4.0,679639,1.2174995107694495,0.24419855025598472,0.017654960942500356
2012-06,1,26.0,35888,5.7731929893001634,0.21496081707902753,0.03368814088274632
2012-06,1,34.0,9159,6.955063871601625,0.19957122359617352,0.05426356589147287
2012-06,1,16.0,122442,3.176582545205137,0.18863954077535602,0.023096649842374348
2012-06,1,28.0,26414,6.122731127432396,0.21228469833609012,0.03713939577496782
2012-06,2,18.0,85614,3.4884741981450276,0.1849964374007279,0.04392973111874226
2012-06,1,30.0,18096,6.425817307692549,0.208420038963737,0.04376657824933687
2012-10,1,12.0,344429,2.3665130694559156,0.18646672906521453,0.01708334664038162
2012-10,1,8.0,615676,1.7438333474108856,0.20007372028274764,0.015792397299878507
2012-10,2,16.0,167617,2.9540179695379147,0.17687333453411103,0.03630896627430392
2012-10,2,30.0,37883,5.7744344428901355,0.18792072237008547,0.05981574848876805
2012-10,2,28.0,42654,5.351938856847922,0.1862468668649576,0.05476625873306138
2012-10,2,14.0,235938,2.615655299273405,0.17801479394557645,0.035416083886444745
2012-10,2,40.0,126390,8.712953081734113,0.17415814951385283,0.08840098109027612
2012-10,1,36.0,17421,7.246214913036009,0.19742304663660565,0.04305148958153952
2012-10,1,32.0,29883,6.581486798514479,0.20116245038605057,0.03460161295719975
2012-10,1,18.0,127787,3.390406848896841,0.18125476681491337,0.023053988277367807
2012-10,2,10.0,468166,1.9863713939064573,0.18570278100479776,0.030781816706040164
2012-10,2,38.0,13581,7.073843605036429,0.18280476974397855,0.07436860319564097
2012-10,1,26.0,47914,5.228076345118304,0.19557044069330415,0.03184872897274283
2012-10,1,4.0,430784,1.1863367023842042,0.24196057463646153,0.020736610459069976
2012-10,1,34.0,23658,6.952758052244629,0.20030452863518436,0.038337982923324035
2012-10,1,6.0,669268,1.4488856930252383,0.2149495434789302,0.016692864442943635
2012-10,2,26.0,48358,4.883761528598942,0.18268482277735368,0.055316597047024275
2012-10,2,34.0,24819,6.437825053386494,0.18548189460976455,0.07010757887102623
2012-10,2,4.0,421761,1.114329039431952,0.22711605504713328,0.03645429520510431
2012-10,1,10.0,479711,2.0535864093174663,0.1920005786379028,0.016534955421076438
2012-10,1,38.0,12800,7.486103906250125,0.19343830324042788,0.04421875
2012-10,2,18.0,125403,3.3098244858577766,0.17696515024529763,0.040126631739272584
2012-10,1,16.0,172693,3.032930865755596,0.1816184572894279,0.02086361346435582
2012-10,2,12.0,336160,2.294952344120944,0.18080945023588102,0.03204128986197049
2012-10,2,8.0,603054,1.6841669236925327,0.19324526497533176,0.02973365569252505
2012-10,1,28.0,41908,5.744185119786044,0.1999199807013862,0.03400305430943972
2012-10,1,30.0,36025,6.207184732824457,0.20205425108660502,0.03389312977099237
2012-10,1,14.0,241569,2.6918783867127147,0.18323687921337203,0.019741771502138107
2012-10,2,36.0,18526,6.745110655295149,0.18378328007800832,0.07227680017273022
2012-10,1,40.0,114031,9.177742806776186,0.18382132920072317,0.0538800852399786
2012-10,1,20.0,95663,3.74401252312789,0.18085488426063137,0.02738780928885776
2012-10,2,24.0,57217,4.440090357760771,0.17954667518695483,0.05355051820263208
2012-10,2,22.0,70768,4.002590718969343,0.17620865268931712,0.050121523852588744
2012-10,2,32.0,31294,6.144980507445763,0.18780310193678024,0.05914871860420528
2012-10,1,24.0,57635,4.663186084844459,0.1885879915089465,0.03291402793441485
2012-10,2,20.0,93210,3.6411184422271834,0.17589004216172396,0.04574616457461646
2012-10,1,22.0,71357,4.156286979553469,0.18297268104045541,0.03053659767086621
2012-10,2,6.0,655474,1.3849732712519514,0.20534343841754765,0.0310370815623503
2013-04,1,10.0,506272,2.0570046141206957,0.19235826761930258,0.015507474243094621
2013-04,2,18.0,133307,3.325563923875089,0.17776944135145423,0.03719234548823393
2013-04,1,38.0,12776,7.60929320601122,0.19663505948238105,0.043910457107075765
2013-04,2,32.0,32681,6.185115204553381,0.18906254172479098,0.056393623206144244
2013-04,1,4.0,485117,1.1824044508843754,0.24148639554482437,0.020939278565789282
2013-04,1,26.0,49833,5.285901912387159,0.19779473930173266,0.030722613529187485
2013-04,1,34.0,23940,7.01224561403513,0.2020480141541516,0.03746867167919799
2013-04,2,6.0,732131,1.3790883325535155,0.20456268470928438,0.030276002518674936
2013-04,1,40.0,112805,9.32384291476828,0.18663000050349943,0.05125659323611542
2013-04,1,14.0,249234,2.696513838399896,0.18354648017734626,0.01858895656290875
2013-04,2,36.0,18995,6.7892503290338055,0.18498240387641138,0.0666491181889971
2013-04,2,40.0,127038,8.830783545083468,0.17644873907851719,0.08145594231647224
2013-04,2,14.0,253168,2.630344751311435,0.1790157470358762,0.03262655627883461
2013-04,1,36.0,17307,7.287722308892435,0.19859447177029046,0.039059340151383834
2013-04,1,32.0,30470,6.662692812602467,0.2036391396099838,0.033475549721037084
2013-04,2,38.0,13721,7.0470490489031175,0.1820941507009045,0.07477589097004592
2013-04,1,18.0,130954,3.403501382164565,0.18196317637326992,0.02148082532797776
2013-04,2,10.0,510218,1.9859919093397393,0.18568910903570973,0.029348239380029714
2013-04,1,22.0,74127,4.190129372563158,0.18446982621218072,0.028167874053988424
2013-04,2,20.0,99304,3.6469809876741,0.1761977499028419,0.0425561910899863
2013-04,1,24.0,59487,4.7084220081699515,0.1904250174929326,0.032242338662228726
2013-04,1,28.0,42896,5.8147044013423015,0.2023699099224622,0.03240395374860127
2013-04,2,8.0,664034,1.68477529765111,0.19335475041904496,0.028174762135673777
2013-04,1,16.0,175682,3.046667273823851,0.1824545756972059,0.01981990186814813
2013-04,1,30.0,37340,6.2801756829135345,0.20444210646747402,0.03256561328334226
2013-04,2,12.0,362250,2.3006801380250983,0.181274361972111,0.030677708764665287
2013-04,2,24.0,60652,4.445268746290275,0.17979644653193275,0.051721295258194286
2013-04,1,20.0,97578,3.7579391871117203,0.18150884858859134,0.026522371846112853
2013-04,2,22.0,75430,4.021668566883447,0.17706018114628178,0.04771311149410049
2013-04,1,6.0,727936,1.448299026287464,0.21492847424356631,0.01677620010550378
2013-04,1,8.0,659869,1.7466226932930502,0.20048109417690047,0.015153007642425997
2013-04,1,12.0,357738,2.371870810480257,0.18692035284195446,0.016777641737808116
2013-04,2,30.0,39847,5.765558511305904,0.18767988235205188,0.05847366175621753
2013-04,2,16.0,179166,2.968409073150368,0.177748885394836,0.03450431443465836
2013-04,2,28.0,44547,5.387363009854528,0.18743193741152567,0.05167575818798123
2013-04,2,4.0,486660,1.104769325606629,0.2254629366241083,0.035712817983807994
